IP-0AF0065B 02:48:53.290 [ERROR] [9] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF02 1028 - 2781
IP-0AF0065B 02:48:53.290 [ERROR] [9] [HttpService.MainService] CLIENT_ERROR:100003183714091 - UncaughtError: TypeError: Error #1009
IP-0AF0065B 02:48:53.290 [ERROR] [9] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:48:53.290 [ERROR] [9] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF02 1028 - 2266
IP-0AF0065B 02:49:05.302 [ERROR] [9] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:49:05.708 [ERROR] [18] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:49:06.269 [ERROR] [5] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:49:11.043 [ERROR] [5] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:49:13.648 [ERROR] [10] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:49:14.335 [ERROR] [9] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:49:17.174 [ERROR] [18] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:49:17.564 [ERROR] [9] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:49:32.992 [ERROR] [14] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:49:34.521 [ERROR] [14] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:49:43.319 [ERROR] [14] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:49:43.897 [ERROR] [14] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:49:45.316 [ERROR] [16] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:49:45.363 [ERROR] [14] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:49:48.155 [ERROR] [9] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:49:51.541 [ERROR] [10] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:50:06.501 [ERROR] [5] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:50:06.985 [ERROR] [5] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:50:33.661 [ERROR] [5] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:50:40.478 [ERROR] [8] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:50:40.743 [ERROR] [8] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:50:41.242 [ERROR] [8] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:50:43.847 [ERROR] [14] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:50:46.843 [ERROR] [10] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:50:47.357 [ERROR] [14] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:50:50.103 [ERROR] [8] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:50:50.774 [ERROR] [8] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:51:00.851 [ERROR] [18] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:51:01.241 [ERROR] [14] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:51:01.741 [ERROR] [14] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:51:17.138 [ERROR] [5] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:51:20.383 [ERROR] [9] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
IP-0AF0065B 02:51:54.547 [ERROR] [14] [HttpService.MainService] CLIENT_ERROR:100003183714091 - OnSocketData: WTF01 0
